Date,T1,T2
2018-01-09-11:43:27,-0.029,-0.127
2018-01-09-11:43:32,-0.03,-0.125
2018-01-09-11:43:37,-0.031,-0.128
2018-01-09-11:43:42,-0.031,-0.128
2018-01-09-11:43:47,-0.032,-0.127
2018-01-09-11:43:52,-0.033,-0.129
2018-01-09-11:43:57,-0.029,-0.128
2018-01-09-11:44:02,-0.029,-0.126
2018-01-09-11:44:07,-0.03,-0.127
2018-01-09-11:44:12,-0.034,-0.124
2018-01-09-11:44:17,-0.032,-0.127
2018-01-09-11:44:22,-0.03,-0.127
2018-01-09-11:44:27,-0.031,-0.126
2018-01-09-11:44:32,-0.032,-0.126
2018-01-09-11:44:37,-0.033,-0.126
2018-01-09-11:44:42,-0.033,-0.126
2018-01-09-11:44:47,-0.032,-0.126
2018-01-09-11:44:52,-0.03,-0.124
2018-01-09-11:44:57,-0.03,-0.125
2018-01-09-11:45:02,-0.03,-0.125
2018-01-09-11:45:07,-0.031,-0.126
2018-01-09-11:45:12,-0.03,-0.124
2018-01-09-11:45:17,-0.031,-0.125
2018-01-09-11:45:22,-0.029,-0.125
2018-01-09-11:45:27,-0.03,-0.126
2018-01-09-11:45:32,-0.029,-0.123
2018-01-09-11:45:37,-0.032,-0.122
2018-01-09-11:45:42,-0.032,-0.122
2018-01-09-11:45:47,-0.03,-0.121
2018-01-09-11:45:52,-0.03,-0.123
2018-01-09-11:45:57,-0.031,-0.125
2018-01-09-11:46:02,-0.031,-0.123
2018-01-09-11:46:07,-0.033,-0.119
2018-01-09-11:46:12,-0.032,-0.123
2018-01-09-11:46:17,-0.033,-0.121
2018-01-09-11:46:22,-0.031,-0.119
2018-01-09-11:46:27,-0.031,-0.121
2018-01-09-11:46:32,-0.03,-0.121
2018-01-09-11:46:37,-0.03,-0.118
2018-01-09-11:46:42,-0.031,-0.12
2018-01-09-11:46:47,-0.032,-0.121
2018-01-09-11:46:52,-0.034,-0.117
2018-01-09-11:46:57,-0.03,-0.12
2018-01-09-11:47:02,-0.03,-0.12
2018-01-09-11:47:07,-0.031,-0.116
2018-01-09-11:47:12,-0.03,-0.12
2018-01-09-11:47:17,-0.027,-0.119
2018-01-09-11:47:22,-0.03,-0.12
2018-01-09-11:47:27,-0.03,-0.12
2018-01-09-11:47:32,-0.029,-0.119
2018-01-09-11:47:37,-0.03,-0.118
2018-01-09-11:47:42,-0.031,-0.121
2018-01-09-11:47:47,-0.032,-0.118
2018-01-09-11:47:52,-0.031,-0.118
2018-01-09-11:47:57,-0.031,-0.119
2018-01-09-11:48:02,-0.03,-0.119
2018-01-09-11:48:07,-0.03,-0.116
2018-01-09-11:48:12,-0.03,-0.118
2018-01-09-11:48:17,-0.028,-0.119
2018-01-09-11:48:22,-0.031,-0.116
2018-01-09-11:48:27,-0.03,-0.119
2018-01-09-11:48:32,-0.033,-0.117
2018-01-09-11:48:37,-0.031,-0.116
2018-01-09-11:48:42,-0.029,-0.117
2018-01-09-11:48:47,-0.03,-0.118
2018-01-09-11:48:52,-0.03,-0.114
2018-01-09-11:48:57,-0.026,-0.118
2018-01-09-11:49:02,-0.028,-0.118
2018-01-09-11:49:07,-0.029,-0.116
2018-01-09-11:49:12,-0.028,-0.118
2018-01-09-11:49:17,-0.028,-0.118
2018-01-09-11:49:22,-0.032,-0.116
2018-01-09-11:49:27,-0.031,-0.119
2018-01-09-11:49:32,-0.029,-0.116
